,Employee,Day,TSlot,Assignment
286,Employee501768,15/11/2018,16:30:00,Downtown Lobby
287,Employee501768,15/11/2018,16:45:00,Downtown Lobby
288,Employee501768,16/11/2018,09:00:00,Downtown Lobby
289,Employee501768,16/11/2018,09:15:00,Downtown Lobby
290,Employee501768,16/11/2018,09:30:00,Downtown Lobby
291,Employee501768,16/11/2018,09:45:00,Downtown Lobby
292,Employee501768,16/11/2018,10:00:00,Downtown Lobby
293,Employee501768,16/11/2018,10:15:00,Downtown Lobby
294,Employee501768,16/11/2018,10:30:00,Downtown Lobby
295,Employee501768,16/11/2018,10:45:00,Downtown Lobby
296,Employee501768,16/11/2018,11:00:00,Downtown Lobby
297,Employee501768,16/11/2018,11:15:00,Downtown Lobby
298,Employee501768,16/11/2018,11:30:00,Downtown Lobby
299,Employee501768,16/11/2018,11:45:00,Downtown Lobby
300,Employee501768,16/11/2018,12:00:00,Downtown Lobby
301,Employee501768,16/11/2018,12:15:00,Downtown Lobby
302,Employee501768,16/11/2018,12:30:00,Downtown Lobby
303,Employee501768,16/11/2018,12:45:00,Downtown Lobby
304,Employee501768,16/11/2018,13:00:00,Downtown Lobby
305,Employee501768,16/11/2018,13:15:00,Downtown Lobby
306,Employee501768,16/11/2018,13:30:00,Downtown Lobby
307,Employee501768,16/11/2018,13:45:00,Downtown Lobby
308,Employee501768,16/11/2018,14:00:00,Downtown Lobby
309,Employee501768,16/11/2018,14:15:00,Downtown Lobby
310,Employee501768,16/11/2018,14:30:00,Downtown Lobby
311,Employee501768,16/11/2018,14:45:00,Downtown Lobby
312,Employee501768,16/11/2018,15:00:00,Downtown Lobby
313,Employee501768,16/11/2018,15:15:00,Downtown Lobby
314,Employee501768,16/11/2018,15:30:00,Downtown Lobby
315,Employee501768,16/11/2018,15:45:00,Downtown Lobby
316,Employee501768,16/11/2018,16:00:00,Downtown Lobby
317,Employee501768,16/11/2018,16:15:00,Downtown Lobby
318,Employee501768,16/11/2018,16:30:00,Downtown Lobby
319,Employee501768,16/11/2018,16:45:00,Downtown Lobby
320,Employee501792,15/11/2018,09:00:00,Downtown Platform
321,Employee501792,15/11/2018,09:15:00,Downtown Platform
322,Employee501792,15/11/2018,09:30:00,Downtown Platform
323,Employee501792,15/11/2018,09:45:00,Downtown Platform
324,Employee501792,15/11/2018,10:00:00,Downtown Platform
325,Employee501792,15/11/2018,10:15:00,Downtown Platform
326,Employee501792,15/11/2018,10:30:00,Downtown Platform
327,Employee501792,15/11/2018,10:45:00,Downtown Platform
328,Employee501792,15/11/2018,11:00:00,Downtown Platform
329,Employee501792,15/11/2018,11:15:00,Downtown Platform
330,Employee501792,15/11/2018,11:30:00,Downtown Platform
331,Employee501792,15/11/2018,11:45:00,Downtown Platform
332,Employee501792,15/11/2018,12:00:00,Downtown Platform
333,Employee501792,15/11/2018,12:15:00,Downtown Platform
334,Employee501792,15/11/2018,12:30:00,Downtown Platform
335,Employee501792,15/11/2018,12:45:00,Downtown Platform
336,Employee501792,15/11/2018,13:00:00,Downtown Platform
337,Employee501792,15/11/2018,13:15:00,Downtown Platform
338,Employee501792,15/11/2018,13:30:00,Downtown Platform
339,Employee501792,15/11/2018,13:45:00,Downtown Platform
